title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
Affordableble 765 Sq Ft Apartment Is Up For Sale In West Agargaon,1,1,2,2,765,15.46561064414797
Wonderful 895 SQ FT home is available for sale in Agargaon,1,1,2,2,895,15.520258832020865
"Buy This 1465 Sq Ft Residential Flat In Mirpur, Pallabi",4,10,3,3,1465,15.967272877502799
Very Next To North South International School 1400 Square Feet Large Apartment Is For...,4,34,3,3,1400,15.656060350091908
Attention Home Finders! A 1400 Sq.ft Flat Is Up For Sale In West Shewrapara Close To ...,4,34,3,3,1400,15.656060350091908
At West Shewrapara 1400 Square feet flat is available for sale,4,34,3,3,1400,15.943742382861155
"In Wasa Road, West Shewrapara 1350 SQ FT flat is available for sale",4,34,3,3,1350,15.910456409256991
Impressive Flat Of 1375 Sq Ft Is Up For Sale In Shahjadpur Near Eidgah Mosque,8,50,3,3,1375,16.493101620310295
Welcome You A Cozy Apartment Placed In Mirpur Near Eastern Housing,4,10,2,2,850,15.009433329466965
A 1420 Sq. Ft Brand New Apartment Which Is Up For Sale At Pallabi Near To Popular Hos...,4,10,3,3,1420,15.919644834185693
Beautiful And Well-constructed Flat Is Ready For Sale At Shahjadpur Nearby Shahjadpur...,8,50,3,3,1475,16.559571260898196
2036 Square Feet Flat With 4 Bedrooms Is Available For Sale In Bashundhara R-a,2,49,4,4,2036,16.648723960844016
Completely Suitable And Ready Flat Of 2200 Sq Ft For Sale In Mirpur Dohs Near Agrani ...,4,5,4,4,2200,16.906553056777135
An Apartment Of 1425 Sq.Ft Which Is Up For Sale At Dhanmondi Near To West Dhanmondi J...,11,51,3,3,1425,16.115592620990824
An Apartment Which Is Up For Sale At Mohammadpur Near To Katashur Shahi Jam&#039;e Mo...,7,52,2,2,900,15.607270193858982
Check this apartment for sale at Mirpur near Shahidbag Masjid,4,15,2,2,650,14.603968372873895
Reside Conveniently In This Well Constructed 665 Sq Ft Flat For Sale In Mirpur Near A...,4,25,2,2,665,15.150511887854474
Check This Fine Looking Flat Of 1250 Sq Ft Offered For Sale In Ali And Nur Real Estat...,7,53,3,3,1250,16.066802461833923
At Shahjadpur A 2050 Square Feet Spacious Residential Apartment Is For Sale.,8,50,3,3,2050,16.785925074816024
"This 1637 Sq Ft Flat Is Ready For Sale In Uttara Sector 4, Near Uttara Central Masjid",3,17,3,4,1637,16.410765339548004
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,8,54,4,3,1600,16.300417291085605
3 Bedroom Flat In Uttar Badda Is Now For Sale Nearby Sadhinata Sarani Ideal School,8,55,3,3,1100,15.615568995296266
"Close To Shadhinota Sharani Jame Masjid, An Apartment For Sale Is Available In Badda.",8,55,3,3,1100,15.615568995296266
1200 Sq Ft Residential Apartment For Sale In The Location Of Mirpur-10,4,42,3,3,1200,15.76142084987672
Offering You 1150 Sq Ft And 3 Bedroom Apartment For Sale In Uttara - Sector 10.,3,31,3,3,1150,15.520258832020865
A Beautifully Constructed Apartment Of 1115 Sq Ft Is Vacant Right Now For Sale In Blo...,2,49,3,2,1115,16.300417291085605
1120 Sq Ft Amazing Flat Is For Sale In Dhanmondi,11,56,3,2,1120,16.11308320963728
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,5,23,3,3,2400,16.811242881518265
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,5,23,3,3,1500,16.213405921671733
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3,31,3,3,1450,16.066802461833923
"In The Location Of Mirpur, Close To Masjidul Akbar A Flat Is Up For Sale",4,9,3,3,2000,16.257857680289998
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,4,34,3,2,1220,15.424948670398354
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,4,45,2,2,740,15.201805169084134
A Fascinating Apartment In Dakshin Khan Near To Ark Hospital Is Ready For Sale,0,57,3,3,1320,15.424948670398354
Commodious 1590 Sq Ft Flat For Sale In Banasree,6,2,3,3,1590,16.231424425551033
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2,49,2,2,800,15.967272877502799
"2000 Sq Ft Flat For Sale In Banasree, Block A",6,43,4,4,2000,16.88356353960952
1505 Sq Ft Apartment Is Available For Sale In Uttara 13,3,58,3,3,1505,16.41820031748273
"Have A Look At This 2105 Sq Ft Property Which Is Up For Sale Located At Block K, Bash...",2,44,3,4,2105,16.785925074816024
"An Apartment Of 800 Sq.ft Is Up For Sale At North Circular Road, Dhanmondi",11,59,2,2,800,15.710127563007966
